Feature-Feature Interaction	Cell Line	interaction_shap	f1_main_effect	f2_main_effect	abs_difference_interaction_vs_main1	abs_difference_interaction_vs_main2	avg_of_abs_differences
HNRNPM_2-SUB1_5-interaction-shap	HepG2	-1.1173992156982422	-0.010453871451318264	-0.15214145183563232	1.106945344246924	0.9652577638626099	1.036101554054767
HLTF_2-PRPF8_4-interaction-shap	K562	-1.3102924823760986	-0.08273261785507202	1.0885541439056396	1.2275598645210266	0.22173833847045898	0.7246491014957428
NCBP2_1-U2AF2_2-interaction-shap	HepG2	-0.8651083111763	-0.08615437895059586	-0.2393088936805725	0.7789539322257042	0.6257994174957275	0.7023766748607159
PPIG_3-TARDBP_5-interaction-shap	HepG2	-1.1819193363189697	0.9867287278175354	-0.05914580449461937	0.19519060850143433	1.1227735318243504	0.6589820701628923
GTF2F1_2-EFTUD2_4-interaction-shap	HepG2	-0.6369216442108154	-0.007730825804173946	0.35644668340682983	0.6291908184066415	0.2804749608039856	0.45483288960531354
PCBP2_6-UCHL5_6-interaction-shap	HepG2	-0.562859058380127	-0.00571654736995697	-0.2533913552761078	0.55714251101017	0.30946770310401917	0.4333051070570946
KHSRP_3-IGF2BP1_6-interaction-shap	HepG2	-0.5099205374717712	-0.18590795993804932	-0.015726618468761444	0.3240125775337219	0.4941939190030098	0.40910324826836586
AQR_1-DDX59_1-interaction-shap	HepG2	-0.4442702829837799	-0.0681835189461708	-0.018807798624038696	0.3760867640376091	0.4254624843597412	0.40077462419867516
QKI_3-U2AF2_3-interaction-shap	HepG2	-0.6366861462593079	-0.43169549107551575	0.09508994966745377	0.20499065518379211	0.5415961965918541	0.3732934258878231
HNRNPK_3-PPIG_5-interaction-shap	HepG2	0.5265262126922607	-0.35798153281211853	-0.023685477674007416	0.1685446798801422	0.5028407350182533	0.33569270744919777
EFTUD2_2-QKI_5-interaction-shap	HepG2	-0.49123701453208923	-0.1441425085067749	-0.22395512461662292	0.34709450602531433	0.2672818899154663	0.3071881979703903
