Dataset	Cell Line	Model	PPI Category	R2 Value	# Rows	% Dataset
ALL DATA	K562	xgboost	Same Pos. PPI	0.46695333246794035	220086	9.77272636446107
ALL DATA	HepG2	xgboost	Same Pos. PPI	0.42808269643586616	105476	5.06365818530965
ALL DATA	K562	xgboost	Single Binders	0.35000724568904307	1125657	49.9838146962558
ALL DATA	HepG2	xgboost	Single Binders	0.3443629134697268	1034171	49.648151704272685
ALL DATA	HepG2	xgboost	Neither	0.3029009047548251	943353	45.288190110417666
TEST ONLY	HepG2	xgboost	Neither	0.26392236201717156	191283	47.541798497317
TEST ONLY	HepG2	xgboost	Single Binders	0.2573400892051656	189924	47.20403035191016
ALL DATA	K562	xgboost	Neither	0.2507490691751557	906300	40.24345893928313
TEST ONLY	K562	xgboost	Single Binders	0.24626235765539384	202400	49.762986565960546
ALL DATA	HepG2	linear	Same Pos. PPI	0.2285393619027094	105476	5.06365818530965
ALL DATA	HepG2	linear	Single Binders	0.2246839474505905	1034171	49.648151704272685
ALL DATA	HepG2	linear	Neither	0.22188233362132848	943353	45.288190110417666
ALL DATA	K562	linear	Same Pos. PPI	0.1950780359767098	220086	9.77272636446107
TEST ONLY	K562	xgboost	Same Pos. PPI	0.19242793357643007	35303	8.679756495741627
TEST ONLY	K562	xgboost	Neither	0.19007739082035302	169025	41.55725693829783
TEST ONLY	HepG2	linear	Neither	0.18855083427605146	191283	47.541798497317
ALL DATA	K562	linear	Single Binders	0.18722225468046771	1125657	49.9838146962558
TEST ONLY	HepG2	xgboost	Same Pos. PPI	0.18480446064680722	21140	5.254171150772841
ALL DATA	K562	linear	Neither	0.1743665960400378	906300	40.24345893928313
TEST ONLY	HepG2	linear	Single Binders	0.1591288413763694	189924	47.20403035191016
TEST ONLY	K562	linear	Single Binders	0.11942749200125258	202400	49.762986565960546
TEST ONLY	K562	linear	Neither	0.11368539652339671	169025	41.55725693829783
TEST ONLY	HepG2	linear	Same Pos. PPI	-0.08379623236847622	21140	5.254171150772841
TEST ONLY	K562	linear	Same Pos. PPI	-0.28739540552738796	35303	8.679756495741627
